"FL_DATE","ORIGIN","DEST","DEP_TIME","ARR_TIME",
2017-01-01,"LAX","EGE","1149","1516",
2017-01-01,"DFW","EGE","1634","1747",
2017-01-01,"DFW","LAX","0700","0851",
2017-01-01,"ABQ","DFW","1703","1951",
2017-01-01,"DFW","ABQ","1537","1624",
2017-01-01,"JFK","PHX","0954","1400",
2017-01-01,"PHX","SEA","1452","1715",
2017-01-01,"DFW","ATL","1846","2141",
2017-01-01,"DFW","LAX","1724","1843",
2017-01-01,"DFW","LAX","0831","1010",
2017-01-01,"LAS","MIA","0816","1550",
2017-01-01,"SAT","DFW","0859","1014",
2017-01-01,"SEA","DFW","1501","2106",
2017-01-01,"MIA","SJU","1424","1755",
2017-01-01,"MIA","LGA","1921","2202",
2017-01-01,"SJU","MIA","1138","1325",
2017-01-01,"DFW","JAX","2045","0006",
2017-01-01,"DTW","DFW","1725","1915",
2017-01-01,"LAX","DFW","0606","1107",
2017-01-01,"MIA","STT","1400","1723",
2017-01-01,"STT","MIA","1814","2016",
2017-01-01,"DFW","MSP","1210","1412",
2017-01-01,"MSP","DFW","1506","1731",
2017-01-01,"MIA","AUS","2115","2313",
2017-01-01,"DFW","TUL","1833","1938",
2017-01-01,"DFW","ONT","2213","2328",
2017-01-01,"MIA","DFW","1812","2024",
2017-01-01,"RDU","DFW","0531","0755",
2017-01-01,"DFW","SAT","1847","1954",
2017-01-01,"CMH","DFW","2007","2137",
2017-01-01,"DFW","CMH","1628","1931",
2017-01-01,"PHX","SNA","0848","0913",
2017-01-01,"DFW","MCO","1430","1757",
2017-01-01,"SFO","DFW","0608","1138",
2017-01-01,"DFW","MCO","1711","2038",
2017-01-01,"MIA","LAX","1535","1826",
2017-01-01,"ATL","LAX","1227","1507",
2017-01-01,"LAX","ORD","2356","0539",
2017-01-01,"MIA","ORD","1009","1227",
2017-01-01,"SLC","MIA","0354","1058",
2017-01-01,"ORD","PBI","1845","2240",
2017-01-01,"MIA","DEN","1704","1929",
2017-01-01,"STL","LAX","0757","1035",
2017-01-01,"JAC","DFW","0731","1147",
2017-01-01,"MCO","MIA","2020","2140",
2017-01-01,"MIA","MCO","1724","1846",
2017-01-01,"BNA","DFW","0703","0925",
2017-01-01,"LAX","DFW","0800","1301",
2017-01-01,"ORD","LAX","2047","2343",
2017-01-01,"LAX","DFW","0658","1155",
2017-01-01,"PBI","HPN","1848","2127",
2017-01-01,"BOS","FLL","1643","2016",
2017-01-01,"FLL","BOS","0622","0915",
2017-01-01,"EWR","TPA","2010","2310",
2017-01-01,"DCA","FLL","1611","1854",
2017-01-01,"LGB","LAS","1819","1923",
2017-01-01,"JFK","MCO","0547","0825",
2017-01-01,"SJU","EWR","0509","0820",
2017-01-01,"MCO","LGA","1002","1213",
2017-01-01,"JFK","BUF","2243","0005",
2017-01-01,"FLL","EWR","0555","0841",
2017-01-01,"PIT","FLL","0702","1005",
2017-01-01,"FLL","PIT","1958","2225",
2017-01-01,"ORH","FLL","1252","1617",
2017-01-01,"FLL","ORH","0910","1219",
2017-01-01,"JFK","LAX","2245","0219",
2017-01-01,"LAX","JFK","2355","0759",
2017-01-01,"MCO","EWR","0527","0745",
2017-01-01,"STT","SJU","1543","1626",
2017-01-01,"BOS","MCO","2150","0042",
2017-01-01,"JFK","PBI","1422","1726",
2017-01-01,"SJU","FLL","2222","2359",
2017-01-01,"HPN","PBI","1455","1812",
2017-01-01,"FLL","BOS","1700","2013",
2017-01-01,"TPA","EWR","1815","2045",
2017-01-01,"LAS","LGB","2014","2112",
2017-01-01,"FLL","DCA","2003","2217",
2017-01-01,"MCO","JFK","0722","0954",
2017-01-01,"BUF","JFK","0817","0931",
2017-01-01,"FLL","EWR","1602","1857",
2017-01-01,"JAX","DCA","1018","1155",
2017-01-01,"SFO","LGB","1814","1925",
2017-01-01,"LGB","SFO","1528","1648",
2017-01-01,"PBI","HPN","1516","1755",
2017-01-01,"BOS","FLL","1409","1724",
2017-01-01,"FLL","BOS","2109","0003",
2017-01-01,"JFK","MCO","1503","1812",
2017-01-01,"BOS","TPA","0825","1149",
2017-01-01,"JFK","BUF","1558","1722",
2017-01-01,"MCO","DCA","1446","1645",
2017-01-01,"EWR","MCO","2133","0028",
2017-01-01,"BOS","FLL","1400","1712",
2017-01-01,"BDL","SJU","2212","0236",
2017-01-01,"SJU","BDL","0349","0658",
2017-01-01,"EWR","BOS","0829","0932",
2017-01-01,"BOS","RDU","0605","0808",
2017-01-01,"SFO","LAS","1010","1138",
2017-01-01,"DTW","FLL","0705","1009",
2017-01-01,"BUF","JFK","1047","1151",
2017-01-01,"JFK","BUF","1427","1550",
2017-01-01,"DCA","MCO","2045","2253",
2017-01-01,"MCO","DCA","0646","0837",
2017-01-01,"BOS","EWR","0852","1000",
2017-01-01,"BOS","TPA","1345","1707",
2017-01-01,"TPA","BOS","1750","2035",
2017-01-01,"BUF","JFK","1303","1409",
2017-01-01,"JFK","BUF","1106","1222",
2017-01-01,"AUS","MCO","1702","2030",
2017-01-01,"MCO","AUS","1148","1334",
2017-01-01,"JFK","PBI","0645","1001",
2017-01-01,"PBI","JFK","1113","1341",
2017-01-01,"BUF","FLL","0731","1021",
2017-01-01,"FLL","BUF","1452","1741",
