"FL_DATE","ORIGIN","DEST","DEP_TIME","ARR_TIME",
2017-01-01,"JFK","BOS","2306","0007",
2017-01-01,"JFK","PSE","0018","0441",
2017-01-01,"PSE","JFK","0553","0911",
2017-01-01,"LAS","JFK","1300","2045",
2017-01-01,"JFK","PBI","2056","2342",
2017-01-01,"PBI","JFK","1452","1725",
2017-01-01,"LGA","PBI","1550","1902",
2017-01-01,"JFK","MCO","0813","1108",
2017-01-01,"JFK","AUS","1314","1617",
2017-01-01,"HPN","FLL","1843","2142",
2017-01-01,"FLL","HPN","2003","2243",
2017-01-01,"LGA","BOS","1420","1515",
2017-01-01,"BQN","JFK","0628","0939",
2017-01-01,"JFK","BQN","2359","0422",
2017-01-01,"JFK","SAV","0658","0910",
2017-01-01,"SAV","JFK","1003","1142",
2017-01-01,"MCO","SWF","1354","1636",
2017-01-01,"JFK","MCO","2224","0114",
2017-01-01,"JFK","RDU","0800","0940",
2017-01-01,"RDU","JFK","1047","1210",
2017-01-01,"JFK","FLL","0513","0815",
2017-01-01,"FLL","JFK","2023","2309",
2017-01-01,"JFK","ORD","0825","0957",
2017-01-01,"ORD","JFK","1035","1336",
2017-01-01,"JFK","SFO","1626","2014",
2017-01-01,"SFO","JFK","1534","2334",
2017-01-01,"BOS","JFK","0539","0645",
2017-01-01,"JFK","BOS","1654","1755",
2017-01-01,"JFK","TPA","1538","1904",
2017-01-01,"JFK","RSW","0850","1157",
2017-01-01,"RSW","JFK","1237","1506",
2017-01-01,"BQN","JFK","1041","1347",
2017-01-01,"JFK","BQN","0523","0941",
2017-01-01,"LAS","JFK","2153","0514",
2017-01-01,"LGA","FLL","0923","1214",
2017-01-01,"JFK","MCO","2029","2319",
2017-01-01,"HPN","MCO","1555","1845",
2017-01-01,"BUF","JFK","2035","2150",
2017-01-01,"FLL","JFK","1415","1659",
2017-01-01,"JFK","LGB","1837","2142",
2017-01-01,"LAX","JFK","1647","0037",
2017-01-01,"JFK","TPA","1233","1520",
2017-01-01,"TPA","JFK","1611","1836",
2017-01-01,"JFK","SAV","1745","1948",
2017-01-01,"SAV","JFK","2028","2213",
2017-01-01,"AUS","JFK","1420","1831",
2017-01-01,"LGA","MCO","0700","0946",
2017-01-01,"JFK","FLL","1915","2201",
2017-01-01,"JFK","SJU","2258","0327",
2017-01-01,"ORD","JFK","1747","2051",
2017-01-01,"CLT","JFK","1947","2200",
2017-01-01,"JFK","CLT","1701","1904",
2017-01-01,"JFK","LAX","1918","2241",
2017-01-01,"LAX","JFK","2049","0439",
2017-01-01,"JFK","RSW","1355","1700",
2017-01-01,"PBI","JFK","2156","0017",
2017-01-01,"LGA","PBI","1324","1614",
2017-01-01,"PBI","HPN","1132","1407",
2017-01-01,"HPN","ORD","1732","1909",
2017-01-01,"BUF","DTW","1308","1407",
2017-01-01,"LGA","CLE","1209","1343",
2017-01-01,"DTW","SYR","1528","1646",
2017-01-01,"RIC","LGA","1453","1630",
2017-01-01,"ATL","HPN","1302","1456",
2017-01-01,"HPN","ATL","1527","1809",
2017-01-01,"SAV","LGA","1513","1701",
2017-01-01,"LGA","RIC","0837","0948",
2017-01-01,"ATL","HPN","1038","1247",
2017-01-01,"HPN","ATL","1318","1547",
2017-01-01,"LGA","CLT","1037","1232",
2017-01-01,"ALB","BWI","0635","0757",
2017-01-01,"ALB","BWI","1732","1841",
2017-01-01,"ALB","BWI","0527","0701",
2017-01-01,"ALB","BWI","1125","1232",
2017-01-01,"ALB","BWI","1420","1530",
2017-01-01,"ALB","FLL","1529","1825",
2017-01-01,"ALB","LAS","1312","1540",
